mes,casos_notificados
2022-01,919
2022-02,934
2022-03,952
2022-04,733
2022-05,731
2022-06,406
2022-07,283
2022-08,179
2022-09,164
2022-10,188
2022-11,281
2022-12,356
2023-01,698
2023-02,834
2023-03,1029
2023-04,711
2023-05,562
2023-06,452
2023-07,293
2023-08,374
2023-09,237
2023-10,231
2023-11,214
2023-12,243
2024-01,1091
2024-02,3678
2024-03,4691
2024-04,3933
2024-05,1976
2024-06,1300
2024-07,1009
2024-08,830
2024-09,650
2024-10,502
2024-11,670
2024-12,739
2025-01,2176
2025-02,3270
2025-03,2694
2025-04,2032
2025-05,1571
2025-06,906
2025-07,800
2025-08,800
2025-09,879
2025-10,690
2025-11,553
2025-12,572
2026-01,821
2026-02,1186
2026-03,1863
2026-04,1572
2026-05,1701
2026-06,393
