ano,classificacao_final,n
2022,Dengue,4735
2022,Dengue com sinais de alarme,38
2022,Dengue grave,7
2022,Ignorado/Branco,14
2022,Inconclusivo,1332
2023,Codigo 0,1
2023,Dengue,4523
2023,Dengue com sinais de alarme,31
2023,Dengue grave,5
2023,Ignorado/Branco,15
2023,Inconclusivo,1303
2024,Codigo 0,1
2024,Dengue,17816
2024,Dengue com sinais de alarme,398
2024,Dengue grave,38
2024,Ignorado/Branco,39
2024,Inconclusivo,2777
2025,Codigo 0,1
2025,Dengue,14590
2025,Dengue com sinais de alarme,460
2025,Dengue grave,41
2025,Ignorado/Branco,34
2025,Inconclusivo,1817
2026,Dengue,4987
2026,Dengue com sinais de alarme,190
2026,Dengue grave,18
2026,Ignorado/Branco,1551
2026,Inconclusivo,790
