ano,criterio_confirmacao,n
2022,Clinico-epidemiologico,2270
2022,Em investigacao,69
2022,Ignorado/Branco,1268
2022,Laboratorial,2519
2023,Clinico-epidemiologico,1935
2023,Em investigacao,23
2023,Ignorado/Branco,1286
2023,Laboratorial,2634
2024,Clinico-epidemiologico,7852
2024,Codigo 0,1
2024,Em investigacao,164
2024,Ignorado/Branco,2736
2024,Laboratorial,10316
2025,Clinico-epidemiologico,8982
2025,Codigo 0,1
2025,Em investigacao,65
2025,Ignorado/Branco,1741
2025,Laboratorial,6154
2026,Clinico-epidemiologico,2833
2026,Em investigacao,80
2026,Ignorado/Branco,2282
2026,Laboratorial,2341
