ano,evolucao,n
2022,Cura,4349
2022,Ignorado,174
2022,Ignorado/Branco,1591
2022,Obito em investigacao,3
2022,Obito pelo agravo,5
2022,Obito por outras causas,4
2023,Codigo 0,1
2023,Cura,4158
2023,Ignorado,277
2023,Ignorado/Branco,1440
2023,Obito pelo agravo,1
2023,Obito por outras causas,1
2024,Codigo 0,1
2024,Cura,17103
2024,Ignorado,645
2024,Ignorado/Branco,3302
2024,Obito em investigacao,2
2024,Obito pelo agravo,12
2024,Obito por outras causas,4
2025,Codigo 0,1
2025,Cura,14351
2025,Ignorado,388
2025,Ignorado/Branco,2156
2025,Obito em investigacao,3
2025,Obito pelo agravo,31
2025,Obito por outras causas,13
2026,Cura,4882
2026,Ignorado,127
2026,Ignorado/Branco,2510
2026,Obito em investigacao,2
2026,Obito pelo agravo,13
2026,Obito por outras causas,2
