ano,sintoma,resposta,n
2022,ARTRALGIA,Ignorado/Branco,654
2022,ARTRALGIA,Nao,4390
2022,ARTRALGIA,Sim,1082
2022,CEFALEIA,Ignorado/Branco,654
2022,CEFALEIA,Nao,999
2022,CEFALEIA,Sim,4473
2022,DOR_COSTAS,Ignorado/Branco,654
2022,DOR_COSTAS,Nao,3183
2022,DOR_COSTAS,Sim,2289
2022,DOR_RETRO,Ignorado/Branco,654
2022,DOR_RETRO,Nao,3830
2022,DOR_RETRO,Sim,1642
2022,EXANTEMA,Ignorado/Branco,654
2022,EXANTEMA,Nao,4257
2022,EXANTEMA,Sim,1215
2022,FEBRE,Ignorado/Branco,654
2022,FEBRE,Nao,258
2022,FEBRE,Sim,5214
2022,LACO,Ignorado/Branco,654
2022,LACO,Nao,5228
2022,LACO,Sim,244
2022,LEUCOPENIA,Ignorado/Branco,654
2022,LEUCOPENIA,Nao,5221
2022,LEUCOPENIA,Sim,251
2022,MIALGIA,Ignorado/Branco,654
2022,MIALGIA,Nao,1390
2022,MIALGIA,Sim,4082
2022,NAUSEA,Ignorado/Branco,654
2022,NAUSEA,Nao,3327
2022,NAUSEA,Sim,2145
2022,PETEQUIA_N,Ignorado/Branco,654
2022,PETEQUIA_N,Nao,4653
2022,PETEQUIA_N,Sim,819
2022,VOMITO,Ignorado/Branco,654
2022,VOMITO,Nao,3835
2022,VOMITO,Sim,1637
2023,ARTRALGIA,Ignorado/Branco,436
2023,ARTRALGIA,Nao,4126
2023,ARTRALGIA,Sim,1316
2023,CEFALEIA,Ignorado/Branco,436
2023,CEFALEIA,Nao,757
2023,CEFALEIA,Sim,4685
2023,DOR_COSTAS,Ignorado/Branco,436
2023,DOR_COSTAS,Nao,2696
2023,DOR_COSTAS,Sim,2746
2023,DOR_RETRO,Ignorado/Branco,436
2023,DOR_RETRO,Nao,3615
2023,DOR_RETRO,Sim,1827
2023,EXANTEMA,Ignorado/Branco,436
2023,EXANTEMA,Nao,4095
2023,EXANTEMA,Sim,1347
2023,FEBRE,Ignorado/Branco,436
2023,FEBRE,Nao,217
2023,FEBRE,Sim,5225
2023,LACO,Ignorado/Branco,436
2023,LACO,Nao,5218
2023,LACO,Sim,224
2023,LEUCOPENIA,Ignorado/Branco,436
2023,LEUCOPENIA,Nao,5074
2023,LEUCOPENIA,Sim,368
2023,MIALGIA,Ignorado/Branco,436
2023,MIALGIA,Nao,1221
2023,MIALGIA,Sim,4221
2023,NAUSEA,Ignorado/Branco,436
2023,NAUSEA,Nao,3055
2023,NAUSEA,Sim,2387
2023,PETEQUIA_N,Ignorado/Branco,436
2023,PETEQUIA_N,Nao,4697
2023,PETEQUIA_N,Sim,745
2023,VOMITO,Ignorado/Branco,436
2023,VOMITO,Nao,3810
2023,VOMITO,Sim,1632
2024,ARTRALGIA,Ignorado/Branco,647
2024,ARTRALGIA,Nao,15565
2024,ARTRALGIA,Sim,4857
2024,CEFALEIA,Ignorado/Branco,647
2024,CEFALEIA,Nao,2412
2024,CEFALEIA,Sim,18010
2024,DOR_COSTAS,Ignorado/Branco,647
2024,DOR_COSTAS,Nao,9008
2024,DOR_COSTAS,Sim,11414
2024,DOR_RETRO,Ignorado/Branco,647
2024,DOR_RETRO,Nao,11993
2024,DOR_RETRO,Sim,8429
2024,EXANTEMA,Ignorado/Branco,647
2024,EXANTEMA,Nao,16019
2024,EXANTEMA,Sim,4403
2024,FEBRE,Ignorado/Branco,647
2024,FEBRE,Nao,676
2024,FEBRE,Sim,19746
2024,LACO,Ignorado/Branco,647
2024,LACO,Nao,19619
2024,LACO,Sim,803
2024,LEUCOPENIA,Ignorado/Branco,647
2024,LEUCOPENIA,Nao,19264
2024,LEUCOPENIA,Sim,1158
2024,MIALGIA,Ignorado/Branco,647
2024,MIALGIA,Nao,3925
2024,MIALGIA,Sim,16497
2024,NAUSEA,Ignorado/Branco,647
2024,NAUSEA,Nao,9722
2024,NAUSEA,Sim,10700
2024,PETEQUIA_N,Ignorado/Branco,647
2024,PETEQUIA_N,Nao,17638
2024,PETEQUIA_N,Sim,2784
2024,VOMITO,Ignorado/Branco,647
2024,VOMITO,Nao,13596
2024,VOMITO,Sim,6826
2025,ARTRALGIA,Ignorado/Branco,734
2025,ARTRALGIA,Nao,12530
2025,ARTRALGIA,Sim,3679
2025,CEFALEIA,Ignorado/Branco,734
2025,CEFALEIA,Nao,2155
2025,CEFALEIA,Sim,14054
2025,DOR_COSTAS,Ignorado/Branco,734
2025,DOR_COSTAS,Nao,8355
2025,DOR_COSTAS,Sim,7854
2025,DOR_RETRO,Ignorado/Branco,734
2025,DOR_RETRO,Nao,10626
2025,DOR_RETRO,Sim,5583
2025,EXANTEMA,Ignorado/Branco,734
2025,EXANTEMA,Nao,13412
2025,EXANTEMA,Sim,2797
2025,FEBRE,Ignorado/Branco,734
2025,FEBRE,Nao,640
2025,FEBRE,Sim,15569
2025,LACO,Ignorado/Branco,734
2025,LACO,Nao,15703
2025,LACO,Sim,506
2025,LEUCOPENIA,Ignorado/Branco,734
2025,LEUCOPENIA,Nao,15379
2025,LEUCOPENIA,Sim,830
2025,MIALGIA,Ignorado/Branco,734
2025,MIALGIA,Nao,3242
2025,MIALGIA,Sim,12967
2025,NAUSEA,Ignorado/Branco,734
2025,NAUSEA,Nao,8248
2025,NAUSEA,Sim,7961
2025,PETEQUIA_N,Ignorado/Branco,734
2025,PETEQUIA_N,Nao,14471
2025,PETEQUIA_N,Sim,1738
2025,VOMITO,Ignorado/Branco,734
2025,VOMITO,Nao,10342
2025,VOMITO,Sim,5867
2026,ARTRALGIA,Ignorado/Branco,458
2026,ARTRALGIA,Nao,5493
2026,ARTRALGIA,Sim,1585
2026,CEFALEIA,Ignorado/Branco,458
2026,CEFALEIA,Nao,915
2026,CEFALEIA,Sim,6163
2026,DOR_COSTAS,Ignorado/Branco,458
2026,DOR_COSTAS,Nao,3543
2026,DOR_COSTAS,Sim,3535
2026,DOR_RETRO,Ignorado/Branco,458
2026,DOR_RETRO,Nao,4431
2026,DOR_RETRO,Sim,2647
2026,EXANTEMA,Ignorado/Branco,458
2026,EXANTEMA,Nao,5718
2026,EXANTEMA,Sim,1360
2026,FEBRE,Ignorado/Branco,458
2026,FEBRE,Nao,271
2026,FEBRE,Sim,6807
2026,LACO,Ignorado/Branco,458
2026,LACO,Nao,6882
2026,LACO,Sim,196
2026,LEUCOPENIA,Ignorado/Branco,458
2026,LEUCOPENIA,Nao,6665
2026,LEUCOPENIA,Sim,413
2026,MIALGIA,Ignorado/Branco,458
2026,MIALGIA,Nao,1271
2026,MIALGIA,Sim,5807
2026,NAUSEA,Ignorado/Branco,458
2026,NAUSEA,Nao,3408
2026,NAUSEA,Sim,3670
2026,PETEQUIA_N,Ignorado/Branco,458
2026,PETEQUIA_N,Nao,6207
2026,PETEQUIA_N,Sim,871
2026,VOMITO,Ignorado/Branco,458
2026,VOMITO,Nao,4630
2026,VOMITO,Sim,2448
