ano,classificacao_final,n
2019,Dengue,2944
2019,Dengue com sinais de alarme,50
2019,Dengue grave,8
2019,Descartado,2174
2019,Ignorado/Branco,7
2019,Inconclusivo,470
2020,Dengue,779203
2020,Dengue com sinais de alarme,9526
2020,Dengue grave,925
2020,Descartado,535808
2020,Ignorado/Branco,1563
2020,Inconclusivo,161292
2021,Codigo 0,231
2021,Dengue,450139
2021,Dengue com sinais de alarme,4901
2021,Dengue grave,450
2021,Descartado,484508
2021,Ignorado/Branco,902
2021,Inconclusivo,83185
2022,Codigo 0,331
2022,Dengue,1234334
2022,Dengue com sinais de alarme,18934
2022,Dengue grave,1549
2022,Descartado,744
2022,Ignorado/Branco,1483
2022,Inconclusivo,149177
2023,Codigo 0,8074
2023,Dengue,1401010
2023,Dengue com sinais de alarme,23656
2023,Dengue grave,1686
2023,Descartado,1
2023,Ignorado/Branco,3384
2023,Inconclusivo,207752
2024,Codigo 0,68
2024,Dengue,5906003
2024,Dengue com sinais de alarme,101426
2024,Dengue grave,8834
2024,Descartado,4
2024,Ignorado/Branco,7931
2024,Inconclusivo,542865
2025,Codigo 0,1454
2025,Dengue,1437487
2025,Dengue com sinais de alarme,34909
2025,Dengue grave,2658
2025,Descartado,1
2025,Ignorado/Branco,1081
2025,Inconclusivo,158548
2026,Codigo 0,4287
2026,Dengue,244811
2026,Dengue com sinais de alarme,8003
2026,Dengue grave,564
2026,Ignorado/Branco,80815
2026,Inconclusivo,50395
