ano,criterio_confirmacao,n
2019,Clinico-epidemiologico,3154
2019,Em investigacao,24
2019,Ignorado/Branco,465
2019,Laboratorial,2010
2020,Clinico-epidemiologico,715006
2020,Em investigacao,12256
2020,Ignorado/Branco,154980
2020,Laboratorial,606075
2021,Clinico-epidemiologico,410372
2021,Codigo 0,277
2021,Em investigacao,8971
2021,Ignorado/Branco,80630
2021,Laboratorial,524066
2022,Clinico-epidemiologico,666041
2022,Codigo 0,306
2022,Em investigacao,10024
2022,Ignorado/Branco,144712
2022,Laboratorial,585469
2023,Clinico-epidemiologico,765902
2023,Codigo 0,2879
2023,Em investigacao,22323
2023,Ignorado/Branco,199544
2023,Laboratorial,654915
2024,Clinico-epidemiologico,3786658
2024,Codigo 0,471
2024,Em investigacao,65862
2024,Ignorado/Branco,513248
2024,Laboratorial,2200892
2025,Clinico-epidemiologico,958731
2025,Codigo 0,1446
2025,Em investigacao,22207
2025,Ignorado/Branco,144408
2025,Laboratorial,509346
2026,Clinico-epidemiologico,152484
2026,Codigo 0,4262
2026,Em investigacao,24910
2026,Ignorado/Branco,116415
2026,Laboratorial,90804
