ano,evolucao,n
2019,Cura,4664
2019,Ignorado,197
2019,Ignorado/Branco,780
2019,Obito em investigacao,2
2019,Obito pelo agravo,2
2019,Obito por outras causas,8
2020,Cura,1185116
2020,Ignorado,55940
2020,Ignorado/Branco,245040
2020,Obito em investigacao,126
2020,Obito pelo agravo,581
2020,Obito por outras causas,1514
2021,Codigo 0,612
2021,Cura,813245
2021,Ignorado,55895
2021,Ignorado/Branco,152968
2021,Obito em investigacao,57
2021,Obito pelo agravo,278
2021,Obito por outras causas,1261
2022,Codigo 0,498
2022,Cura,1151073
2022,Ignorado,55316
2022,Ignorado/Branco,198148
2022,Obito em investigacao,65
2022,Obito pelo agravo,1057
2022,Obito por outras causas,395
2023,Codigo 0,10564
2023,Cura,1307280
2023,Ignorado,55044
2023,Ignorado/Branco,271040
2023,Obito em investigacao,98
2023,Obito pelo agravo,1192
2023,Obito por outras causas,345
2024,Codigo 0,2251
2024,Cura,5339237
2024,Ignorado,258001
2024,Ignorado/Branco,959654
2024,Obito em investigacao,341
2024,Obito pelo agravo,6338
2024,Obito por outras causas,1309
2025,Codigo 0,1929
2025,Cura,1384838
2025,Ignorado,38943
2025,Ignorado/Branco,208054
2025,Obito em investigacao,62
2025,Obito pelo agravo,1825
2025,Obito por outras causas,487
2026,Codigo 0,5473
2026,Cura,227016
2026,Ignorado,10387
2026,Ignorado/Branco,145482
2026,Obito em investigacao,226
2026,Obito pelo agravo,213
2026,Obito por outras causas,78
