ano,faixa_etaria,n
2019,<1,136
2019,1-9,546
2019,10-19,788
2019,20-39,2226
2019,40-59,1327
2019,60+,630
2020,<1,24979
2020,1-9,114284
2020,10-19,206372
2020,20-39,579298
2020,40-59,402626
2020,60+,160705
2020,Ignorado/Branco,53
2021,<1,18039
2021,1-9,92846
2021,10-19,138144
2021,20-39,400974
2021,40-59,271742
2021,60+,102494
2021,Ignorado/Branco,77
2022,<1,20638
2022,1-9,121741
2022,10-19,214545
2022,20-39,499380
2022,40-59,368973
2022,60+,178126
2022,Ignorado/Branco,3149
2023,<1,14596
2023,1-9,136790
2023,10-19,266046
2023,20-39,596002
2023,40-59,425977
2023,60+,206132
2023,Ignorado/Branco,20
2024,<1,51141
2024,1-9,505951
2024,10-19,990581
2024,20-39,2267482
2024,40-59,1784124
2024,60+,967811
2024,Ignorado/Branco,41
2025,<1,13770
2025,1-9,129458
2025,10-19,234680
2025,20-39,578846
2025,40-59,444699
2025,60+,234680
2025,Ignorado/Branco,5
2026,<1,5230
2026,1-9,40778
2026,10-19,69077
2026,20-39,146606
2026,40-59,88079
2026,60+,39103
2026,Ignorado/Branco,2
