ano,hospitalizado,n
2019,Ignorado,64
2019,Ignorado/Branco,1174
2019,Nao,4112
2019,Sim,303
2020,Ignorado,25735
2020,Ignorado/Branco,422288
2020,Nao,992455
2020,Sim,47839
2021,Ignorado,23643
2021,Ignorado/Branco,290783
2021,Nao,680523
2021,Sim,29367
2022,Ignorado,38937
2022,Ignorado/Branco,335212
2022,Nao,982219
2022,Sim,50184
2023,Ignorado,32121
2023,Ignorado/Branco,394177
2023,Nao,1166104
2023,Sim,53161
2024,Ignorado,162300
2024,Ignorado/Branco,1765567
2024,Nao,4448932
2024,Sim,190332
2025,Ignorado,28484
2025,Ignorado/Branco,362088
2025,Nao,1173861
2025,Sim,71705
2026,Ignorado,7482
2026,Ignorado/Branco,112180
2026,Nao,248223
2026,Sim,20990
