ano,raca_cor,n
2019,Amarela,48
2019,Branca,2351
2019,Ignorado,978
2019,Indigena,50
2019,Parda,2029
2019,Preta,197
2020,Amarela,11793
2020,Branca,655014
2020,Ignorado,234754
2020,Ignorado/Branco,5
2020,Indigena,4128
2020,Parda,519758
2020,Preta,62865
2021,Amarela,9244
2021,Branca,376628
2021,Ignorado,193348
2021,Ignorado/Branco,9
2021,Indigena,2052
2021,Parda,405903
2021,Preta,37132
2022,Amarela,12360
2022,Branca,568859
2022,Ignorado,278128
2022,Ignorado/Branco,32
2022,Indigena,3464
2022,Parda,503813
2022,Preta,39896
2023,Amarela,25560
2023,Branca,693077
2023,Ignorado,271920
2023,Ignorado/Branco,7
2023,Indigena,3118
2023,Parda,579361
2023,Preta,72520
2024,Amarela,72428
2024,Branca,2764570
2024,Ignorado,1062037
2024,Ignorado/Branco,17
2024,Indigena,15428
2024,Parda,2317332
2024,Preta,335319
2025,Amarela,20245
2025,Branca,798081
2025,Ignorado,219590
2025,Ignorado/Branco,4
2025,Indigena,3264
2025,Parda,515787
2025,Preta,79167
2026,Amarela,6107
2026,Branca,112592
2026,Ignorado,31330
2026,Indigena,1515
2026,Parda,218406
2026,Preta,18925
